class,precision,recall,f1,support
Potato___Early_blight,0.9870903674280039,0.994,0.9905331340308918,1000
Potato___Late_blight,0.9906832298136646,0.957,0.9735503560528993,1000
Potato___healthy,0.8324022346368715,0.9802631578947368,0.9003021148036254,152
