pipeline,accuracy,precision_macro,recall_macro,f1_macro
Raw Grayscale FFT (Baseline),0.052,0.005479308288610614,0.052000000000000005,0.009624521072796936
Binary Segmented FFT (Flat Black),0.08,0.1684135535033146,0.08000000000000002,0.0478888071929248
Tapered (Gaussian-faded) FFT,0.3,0.3539650117668364,0.3,0.2841062423292689
Inpainted (Seamless Background) FFT,0.296,0.40132415902495555,0.296,0.27009467885768296
Hybrid (Raw FFT + HSV Histogram),0.48,0.5725338576474518,0.4800000000000001,0.46271285479653673
Hybrid (Full-Dataset FFT + HSV),0.8453333333333334,0.8448853716421408,0.8453333333333336,0.8427676965546829
Multichannel LAB FFT (Color Spectra),0.48,0.5147663453114505,0.4799999999999999,0.4704545676329842
